"","Countries","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"159","Sri Lanka","44","41","43","42","51","57","65","74","93","101","109","119","114","139","139","151","153"
"160","Sudan","17","19","21","28","37","47","70","104","107","111","109","122","100","123","116","158","152"
"161","Suriname","169","112","188","205","253","290","346","339","393","428","461","449","495","521","538","585","356"
"162","Swaziland","75","66","61","102","132","165","178","185","201","210","313","330","284","264","252","231","221"
"163","Sweden","2,173","2,170","2,477","3,134","3,513","3,574","3,789","4,322","4,653","4,152","4,437","6,387","6,274","6,723","6,628","5,623","5,711"
"164","Switzerland","3,738","3,957","4,421","5,277","5,890","5,965","5,901","6,402","7,411","7,599","8,022","9,572","9,287","9,690","10,015","9,808","9,836"
"165","Syria","54","58","64","61","62","64","66","76","88","92","94","83","66","","","",""
"166","Tajikistan","6","8","8","11","15","18","20","29","42","39","42","49","57","66","74","63","56"
"167","Thailand","62","57","70","77","83","91","104","127","151","152","172","196","206","213","219","214","222"
"168","The former Yugoslav Republic of Macedonia","164","152","175","217","232","234","246","266","315","297","305","330","311","350","344","307","328"
"169","Timor-Leste","13","14","19","24","26","29","42","49","51","","","63","70","82","79","87","80"
"170","Togo","10","10","11","14","15","16","17","19","24","26","31","35","35","39","40","35","39"
"171","Tonga","58","60","69","74","110","117","159","144","204","127","178","168","222","177","216","181","203"
"172","Trinidad and Tobago","277","284","338","374","450","553","593","696","784","810","862","912","937","1,017","1,061","1,116","1,064"
"173","Tunisia","112","115","126","151","170","172","181","205","233","234","244","274","273","288","291","268","257"
"174","Turkey","200","154","187","239","300","365","417","513","571","500","539","532","525","552","527","455","469"
"175","Turkmenistan","77","124","132","209","319","345","374","282","255","194","222","277","319","376","438","405","423"
"176","Tuvalu","358","271","217","287","228","241","292","292","312","330","477","520","499","512","522","453","507"
"177","Uganda","19","20","22","22","31","38","43","52","57","55","63","54","53","50","48","40","38"
"178","Ukraine","35","45","53","69","85","116","148","186","216","168","207","244","276","299","197","142","141"
"179","United Arab Emirates","782","772","851","879","890","915","985","1,095","1,340","1,339","1,359","1,484","1,442","1,556","1,613","1,402","1,323"
"180","United Kingdom","1,674","1,739","1,966","2,347","2,828","3,010","3,255","3,741","3,606","3,275","3,309","3,501","3,496","4,190","4,568","4,356","3,958"
"181","United Republic of Tanzania","13","15","17","20","23","27","35","35","35","33","36","38","41","42","38","32","35"
"182","United States of America","4,560","4,911","5,328","5,737","6,100","6,451","6,819","7,175","7,420","7,699","7,958","8,165","8,438","8,639","9,053","9,524","9,870"
"183","Uruguay","688","669","430","378","371","440","501","576","741","808","1,024","1,223","1,323","1,489","1,468","1,399","1,379"
"184","Uzbekistan","30","26","20","21","23","27","32","40","51","62","72","84","105","115","117","132","135"
"185","Vanuatu","49","46","55","55","63","62","68","73","82","84","100","115","119","132","109","119","110"
"186","Venezuela (Bolivarian Republic of)","239","266","186","169","210","263","349","480","643","803","830","691","694","635","906","1,578",""
"187","Viet Nam","19","23","20","22","29","35","42","49","59","64","78","89","108","119","116","117","123"
"188","Yemen","25","26","27","35","38","42","50","58","69","65","68","64","74","78","80","72",""
"189","Zambia","24","25","26","31","37","47","61","48","55","50","54","57","68","87","67","59","57"
"190","Zimbabwe","85","","","","","","","","","","","67","66","67","89","94","94"
